/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'forward', 'left')
('right', 'red', 'forward', None)
 -- None : 0.62
 -- forward : -9.44
 -- right : 1.97
 -- left : -33.47

('left', 'green', 'right', 'forward')
 -- None : 0.00
 -- forward : 0.57
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'forward')
 -- None : 1.15
 -- forward : 0.00
 -- right : 0.00
 -- left : -31.95

('right', 'green', None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -0.17

('forward', 'green', 'left', 'forward')
 -- None : -3.25
 -- forward : 1.47
 -- right : 0.00
 -- left : 1.26

('right', 'red', 'forward', 'forward')
 -- None : -0.35
 -- forward : -31.77
 -- right : -19.36
 -- left : -31.66

('right', 'green', None, None)
 -- None : -4.46
 -- forward : 0.82
 -- right : 1.44
 -- left : 0.71

('forward', 'green', None, 'left')
 -- None : -4.35
 -- forward : 1.51
 -- right : 0.00
 -- left : 1.19

('right', 'red', 'forward', 'left')
 -- None : 0.00
 -- forward : -7.85
 -- right : 0.00
 -- left : -8.49

('forward', 'green', None, 'forward')
 -- None : -5.68
 -- forward : 1.53
 -- right : 0.25
 -- left : 0.14

('forward', 'green', 'forward', 'left')
 -- None : 0.00
 -- forward : 1.37
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'forward')
 -- None : -3.32
 -- forward : 1.37
 -- right : 0.71
 -- left : 0.00

('left', 'red', 'forward', 'left')
 -- None : 1.50
 -- forward : -7.94
 -- right : 0.00
 -- left : -10.13

('forward', 'red', 'left', 'left')
 -- None : 1.58
 -- forward : 0.00
 -- right : 1.37
 -- left : -7.64

('left', 'red', 'right', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -31.20

('left', 'green', 'left', 'right')
 -- None : -3.46
 -- forward : 0.00
 -- right : 0.74
 -- left : 2.16

('right', 'red', None, 'left')
 -- None : 0.18
 -- forward : -34.23
 -- right : 2.17
 -- left : -10.15

('right', 'red', 'left', 'left')
 -- None : 0.00
 -- forward : -13.80
 -- right : 2.56
 -- left : 0.00

('forward', 'green', None, None)
 -- None : -5.01
 -- forward : 2.64
 -- right : 0.91
 -- left : 0.64

('left', 'red', 'left', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.58
 -- left : 0.00

('left', 'green', 'forward', 'right')
 -- None : 0.00
 -- forward : -0.04
 -- right : 0.00
 -- left : -15.26

('left', 'red', 'forward', 'forward')
 -- None : 2.07
 -- forward : -32.65
 -- right : -15.45
 -- left : 0.00

('forward', 'red', None, None)
 -- None : 2.67
 -- forward : -10.24
 -- right : 1.61
 -- left : -14.21

('forward', 'green', 'right', None)
 -- None : -5.24
 -- forward : 1.81
 -- right : 0.77
 -- left : -15.46

('left', 'red', 'forward', None)
 -- None : 2.17
 -- forward : -9.59
 -- right : 0.08
 -- left : -9.99

('left', 'red', None, 'right')
 -- None : 0.75
 -- forward : -9.26
 -- right : 1.47
 -- left : -10.22

('forward', 'green', 'left', None)
 -- None : -4.07
 -- forward : 0.90
 -- right : 1.00
 -- left : 0.84

('right', 'green', 'right', 'right')
 -- None : -4.57
 -- forward : 0.00
 -- right : 0.00
 -- left : -15.93

('left', 'green', None, 'right')
 -- None : -3.75
 -- forward : 0.43
 -- right : 1.54
 -- left : 0.00

('forward', 'green', 'right', 'left')
 -- None : -4.53
 -- forward : 0.89
 -- right : 0.00
 -- left : -15.57

('forward', 'red', 'forward', None)
 -- None : 2.23
 -- forward : -9.54
 -- right : 0.27
 -- left : -9.72

('left', 'green', 'forward', None)
 -- None : -5.88
 -- forward : -0.16
 -- right : 0.34
 -- left : -19.61

('right', 'red', 'forward', 'right')
 -- None : 0.00
 -- forward : -7.97
 -- right : 0.00
 -- left : -8.72

('left', 'green', 'forward', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -16.10

('left', 'green', None, 'left')
 -- None : -4.58
 -- forward : 0.32
 -- right : 0.07
 -- left : 1.97

('right', 'green', None, 'forward')
 -- None : -4.24
 -- forward : 0.15
 -- right : 1.48
 -- left : 1.38

('right', 'red', 'left', None)
 -- None : 0.46
 -- forward : -10.62
 -- right : 1.56
 -- left : -9.73

('right', 'red', None, None)
 -- None : -0.53
 -- forward : -9.52
 -- right : 1.20
 -- left : -10.29

('forward', 'green', 'forward', None)
 -- None : -3.59
 -- forward : 2.04
 -- right : 0.35
 -- left : -18.66

('right', 'red', 'right', 'right')
 -- None : 0.82
 -- forward : 0.00
 -- right : 0.00
 -- left : -31.57

('left', 'green', 'left', None)
 -- None : -4.65
 -- forward : 0.50
 -- right : 1.16
 -- left : 1.32

('forward', 'red', 'right', None)
 -- None : 2.07
 -- forward : -10.91
 -- right : 1.38
 -- left : 0.00

('forward', 'red', None, 'left')
 -- None : 1.08
 -- forward : -33.44
 -- right : 0.52
 -- left : -32.65

